STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED
411,12834,8164,7495,669,4670,40,4630,2297,31,2266
412,12831,8167,7494,673,4664,41,4623,2300,31,2269
413,12827,8149,7494,655,4678,41,4637,2304,31,2273
414,12822,8153,7492,661,4669,43,4626,2309,31,2278
415,12817,8139,7492,647,4678,43,4635,2314,31,2283
416,12812,8114,7493,621,4698,42,4656,2319,31,2288
417,12810,8117,7493,624,4693,42,4651,2321,31,2290
418,12809,8132,7494,638,4677,41,4636,2322,31,2291
419,12805,8128,7492,636,4677,43,4634,2326,31,2295
420,12803,8126,7491,635,4677,44,4633,2328,31,2297
421,12799,8129,7490,639,4670,45,4625,2332,31,2301
422,12793,8146,7493,653,4647,41,4606,2338,32,2306
423,12789,8155,7495,660,4634,39,4595,2342,32,2310
424,12785,8148,7493,655,4637,40,4597,2346,33,2313
425,12783,8159,7496,663,4624,37,4587,2348,33,2315
426,12779,8152,7495,657,4627,38,4589,2352,33,2319
427,12778,8160,7498,662,4618,35,4583,2353,33,2320
428,12776,8159,7499,660,4617,34,4583,2355,33,2322
429,12769,8138,7498,640,4631,35,4596,2362,33,2329
430,12767,8142,7501,641,4625,32,4593,2364,33,2331
431,12765,8145,7501,644,4620,32,4588,2366,33,2333
432,12762,8145,7502,643,4617,31,4586,2369,33,2336
433,12758,8142,7503,639,4616,30,4586,2373,33,2340
434,12754,8145,7503,642,4609,30,4579,2377,33,2344
435,12752,8162,7503,659,4590,30,4560,2379,33,2346
436,12750,8174,7503,671,4576,30,4546,2381,33,2348
437,12745,8184,7501,683,4561,32,4529,2386,33,2353
438,12740,8174,7501,673,4566,32,4534,2391,33,2358
439,12737,8178,7500,678,4559,32,4527,2394,34,2360
440,12733,8191,7503,688,4542,29,4513,2398,34,2364
441,12730,8166,7505,661,4564,27,4537,2401,34,2367
442,12726,8164,7505,659,4562,27,4535,2405,34,2371
443,12722,8139,7504,635,4583,28,4555,2409,34,2375
444,12720,8150,7502,648,4570,30,4540,2411,34,2377
445,12716,8133,7503,630,4583,29,4554,2415,34,2381
446,12715,8145,7501,644,4570,31,4539,2416,34,2382
